HEADER[~&~	~&~UNIV_FISCAL_YR::DECIMAL~&~	~&~UNIV_FISCAL_PRD_CD::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~UNIV_FISCAL_PRD_NM::VARCHAR~&~	~&~ROW_ACTV_IND::VARCHAR~&~	~&~BDGT_ROLLOVER_CD::VARCHAR~&~	~&~UNIV_FSCPD_END_DT::TIMESTAMP~&~	~&~]HEADER
RECORD[~&~	~&~'2008'~&~	~&~'01'~&~	~&~'682B40E65636B493E0404F8189D85FDE'~&~	~&~'1'~&~	~&~'JULY 2008'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'200707310000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'2008'~&~	~&~'02'~&~	~&~'682B40E65637B493E0404F8189D85FDE'~&~	~&~'1'~&~	~&~'AUG. 2008'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'200708310000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'2008'~&~	~&~'03'~&~	~&~'682B40E65638B493E0404F8189D85FDE'~&~	~&~'1'~&~	~&~'SEPT. 2008'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'200709300000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'2008'~&~	~&~'04'~&~	~&~'682B40E65639B493E0404F8189D85FDE'~&~	~&~'1'~&~	~&~'OCT. 2008'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'200710310000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'2008'~&~	~&~'05'~&~	~&~'682B40E6563AB493E0404F8189D85FDE'~&~	~&~'1'~&~	~&~'NOV. 2008'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'200711300000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'2008'~&~	~&~'06'~&~	~&~'682B40E6563BB493E0404F8189D85FDE'~&~	~&~'1'~&~	~&~'DEC. 2008'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'200712310000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'2008'~&~	~&~'07'~&~	~&~'682B40E6563CB493E0404F8189D85FDE'~&~	~&~'1'~&~	~&~'JAN. 2009'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'200801310000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'2008'~&~	~&~'08'~&~	~&~'682B40E6563DB493E0404F8189D85FDE'~&~	~&~'1'~&~	~&~'FEB. 2009'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'200802280000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'2008'~&~	~&~'09'~&~	~&~'682B40E6563EB493E0404F8189D85FDE'~&~	~&~'1'~&~	~&~'MAR. 2009'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'200803310000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'2008'~&~	~&~'10'~&~	~&~'682B40E6563FB493E0404F8189D85FDE'~&~	~&~'1'~&~	~&~'APR. 2009'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'200804300000000000'~&~	~&~]RECORD
