HEADER[~&~	~&~FIN_COA_CD::VARCHAR~&~	~&~ACCOUNT_NBR::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~ACCOUNT_NM::VARCHAR~&~	~&~ACCT_FSC_OFC_UID::VARCHAR~&~	~&~ACCT_SPVSR_UNVL_ID::VARCHAR~&~	~&~ACCT_MGR_UNVL_ID::VARCHAR~&~	~&~ORG_CD::VARCHAR~&~	~&~ACCT_TYP_CD::VARCHAR~&~	~&~ACCT_PHYS_CMP_CD::VARCHAR~&~	~&~SUB_FUND_GRP_CD::VARCHAR~&~	~&~ACCT_FRNG_BNFT_CD::VARCHAR~&~	~&~FIN_HGH_ED_FUNC_CD::VARCHAR~&~	~&~ACCT_RSTRC_STAT_CD::VARCHAR~&~	~&~ACCT_RSTRC_STAT_DT::TIMESTAMP~&~	~&~ACCT_CITY_NM::VARCHAR~&~	~&~ACCT_STATE_CD::VARCHAR~&~	~&~ACCT_STREET_ADDR::VARCHAR~&~	~&~ACCT_ZIP_CD::VARCHAR~&~	~&~RPTS_TO_FIN_COA_CD::VARCHAR~&~	~&~RPTS_TO_ACCT_NBR::VARCHAR~&~	~&~ACCT_CREATE_DT::TIMESTAMP~&~	~&~ACCT_EFFECT_DT::TIMESTAMP~&~	~&~ACCT_EXPIRATION_DT::TIMESTAMP~&~	~&~CONT_FIN_COA_CD::VARCHAR~&~	~&~CONT_ACCOUNT_NBR::VARCHAR~&~	~&~ENDOW_FIN_COA_CD::VARCHAR~&~	~&~ENDOW_ACCOUNT_NBR::VARCHAR~&~	~&~CONTR_CTRL_FCOA_CD::VARCHAR~&~	~&~CONTR_CTRLACCT_NBR::VARCHAR~&~	~&~INCOME_FIN_COA_CD::VARCHAR~&~	~&~INCOME_ACCOUNT_NBR::VARCHAR~&~	~&~ACCT_ICR_TYP_CD::VARCHAR~&~	~&~AC_CSTM_ICREXCL_CD::VARCHAR~&~	~&~FIN_SERIES_ID::VARCHAR~&~	~&~ICR_FIN_COA_CD::VARCHAR~&~	~&~ICR_ACCOUNT_NBR::VARCHAR~&~	~&~ACCT_IN_FP_CD::VARCHAR~&~	~&~BDGT_REC_LVL_CD::VARCHAR~&~	~&~ACCT_SF_CD::VARCHAR~&~	~&~ACCT_PND_SF_CD::VARCHAR~&~	~&~FIN_EXT_ENC_SF_CD::VARCHAR~&~	~&~FIN_INT_ENC_SF_CD::VARCHAR~&~	~&~FIN_PRE_ENC_SF_CD::VARCHAR~&~	~&~FIN_OBJ_PRSCTRL_CD::VARCHAR~&~	~&~CG_CFDA_NBR::VARCHAR~&~	~&~ACCT_OFF_CMP_IND::VARCHAR~&~	~&~ACCT_CLOSED_IND::VARCHAR~&~	~&~CG_ACCT_RESP_ID::DECIMAL~&~	~&~LBR_BEN_RT_CAT_CD::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'BA'~&~	~&~'1044900'~&~	~&~'2DC81629F7F6C1C6E043814FD881C1C6'~&~	~&~'2'~&~	~&~'PARKING OPERATION'~&~	~&~'3771403079'~&~	~&~'4219606069'~&~	~&~'3771403079'~&~	~&~'PARK'~&~	~&~'RA'~&~	~&~'BL'~&~	~&~'GENFND'~&~	~&~'Y'~&~	~&~'AUX'~&~	~&~'U'~&~	~&~NULL~&~	~&~'BLOOMINGTON'~&~	~&~'IN'~&~	~&~'Franklin Hall 006'~&~	~&~'47405'~&~	~&~NULL~&~	~&~NULL~&~	~&~'1176177600000'~&~	~&~'1176177600000'~&~	~&~NULL~&~	~&~'BL'~&~	~&~'5431400'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~'O'~&~	~&~'N'~&~	~&~'N'~&~	~&~'N'~&~	~&~'N'~&~	~&~'N'~&~	~&~'N'~&~	~&~NULL~&~	~&~'N'~&~	~&~'N'~&~	~&~NULL~&~	~&~'--'~&~	~&~]RECORD
RECORD[~&~	~&~'BA'~&~	~&~'1111111'~&~	~&~'448F5460A31AE134E043814FD881E134'~&~	~&~'2'~&~	~&~'IUF ACCT 1'~&~	~&~'4318506633'~&~	~&~'6276904397'~&~	~&~'1781003865'~&~	~&~'ADAF'~&~	~&~'RC'~&~	~&~'BL'~&~	~&~'DOFDS'~&~	~&~'N'~&~	~&~'AA'~&~	~&~'U'~&~	~&~NULL~&~	~&~'BLOOMINGTON'~&~	~&~'IN'~&~	~&~'SR45/46 BYPASS'~&~	~&~'46202-5286'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'1141160199000'~&~	~&~'1141102800000'~&~	~&~NULL~&~	~&~'BL'~&~	~&~'5431400'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'O'~&~	~&~'N'~&~	~&~'N'~&~	~&~'N'~&~	~&~'N'~&~	~&~'N'~&~	~&~'N'~&~	~&~NULL~&~	~&~'Y'~&~	~&~'N'~&~	~&~NULL~&~	~&~'--'~&~	~&~]RECORD
RECORD[~&~	~&~'BA'~&~	~&~'6040000'~&~	~&~'448F5460A31BE134E043814FD881E134'~&~	~&~'2'~&~	~&~'INDIANA UNION'~&~	~&~'3383108331'~&~	~&~'6276904397'~&~	~&~'3383108331'~&~	~&~'IMU'~&~	~&~'RA'~&~	~&~'BL'~&~	~&~'AUXENT'~&~	~&~'Y'~&~	~&~'AUX'~&~	~&~'U'~&~	~&~NULL~&~	~&~'BLOOMINGTON'~&~	~&~'IN'~&~	~&~'IMU'~&~	~&~'47405'~&~	~&~'BL'~&~	~&~NULL~&~	~&~'205045200000'~&~	~&~'205045200000'~&~	~&~NULL~&~	~&~'BL'~&~	~&~'5431400'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'BA'~&~	~&~'6040000'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'O'~&~	~&~'N'~&~	~&~'N'~&~	~&~'N'~&~	~&~'N'~&~	~&~'N'~&~	~&~'N'~&~	~&~NULL~&~	~&~'N'~&~	~&~'N'~&~	~&~NULL~&~	~&~'--'~&~	~&~]RECORD
RECORD[~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'014C92B069D1A16EE043814FD881A16E'~&~	~&~'2'~&~	~&~'PARKING OPERATION'~&~	~&~'3771403079'~&~	~&~'4219606069'~&~	~&~'3771403079'~&~	~&~'PARK'~&~	~&~'RA'~&~	~&~'BL'~&~	~&~'AUXENT'~&~	~&~'Y'~&~	~&~'AUX'~&~	~&~'U'~&~	~&~NULL~&~	~&~'BLOOMINGTON'~&~	~&~'IN'~&~	~&~'Franklin Hall 006'~&~	~&~'47405'~&~	~&~'BL'~&~	~&~NULL~&~	~&~'205045200000'~&~	~&~'205045200000'~&~	~&~NULL~&~	~&~'BL'~&~	~&~'5431400'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~'O'~&~	~&~'N'~&~	~&~'N'~&~	~&~'N'~&~	~&~'N'~&~	~&~'N'~&~	~&~'N'~&~	~&~NULL~&~	~&~'N'~&~	~&~'N'~&~	~&~NULL~&~	~&~'--'~&~	~&~]RECORD
RECORD[~&~	~&~'BA'~&~	~&~'6044901'~&~	~&~'014C92B069D2A16EE043814FD881A16E'~&~	~&~'2'~&~	~&~'PARKING OPERATION SUB'~&~	~&~'3771403079'~&~	~&~'4219606069'~&~	~&~'3771403079'~&~	~&~'PARK'~&~	~&~'RA'~&~	~&~'BL'~&~	~&~'AUXENT'~&~	~&~'Y'~&~	~&~'AUX'~&~	~&~'U'~&~	~&~NULL~&~	~&~'BLOOMINGTON'~&~	~&~'IN'~&~	~&~'FRANKLIN HALL 006'~&~	~&~'47405'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'205045200000'~&~	~&~'205045200000'~&~	~&~'920264400000'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'BA'~&~	~&~'6044901'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~'O'~&~	~&~'N'~&~	~&~'N'~&~	~&~'N'~&~	~&~'N'~&~	~&~'N'~&~	~&~'N'~&~	~&~NULL~&~	~&~'N'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'--'~&~	~&~]RECORD
RECORD[~&~	~&~'BA'~&~	~&~'6044906'~&~	~&~'014C92B069D3A16EE043814FD881A16E'~&~	~&~'2'~&~	~&~'PARKING OPERATION ENFORCE'~&~	~&~'3771403079'~&~	~&~'4219606069'~&~	~&~'3771403079'~&~	~&~'PARK'~&~	~&~'RA'~&~	~&~'BL'~&~	~&~'AUXENT'~&~	~&~'Y'~&~	~&~'AUX'~&~	~&~'U'~&~	~&~NULL~&~	~&~'BLOOMINGTON'~&~	~&~'IN'~&~	~&~'Franklin Hall 006'~&~	~&~'47405'~&~	~&~'BL'~&~	~&~NULL~&~	~&~'274683600000'~&~	~&~'274683600000'~&~	~&~NULL~&~	~&~'BL'~&~	~&~'5431400'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'BA'~&~	~&~'6044906'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~'O'~&~	~&~'N'~&~	~&~'N'~&~	~&~'N'~&~	~&~'N'~&~	~&~'N'~&~	~&~'N'~&~	~&~NULL~&~	~&~'N'~&~	~&~'N'~&~	~&~NULL~&~	~&~'--'~&~	~&~]RECORD
RECORD[~&~	~&~'BA'~&~	~&~'6044909'~&~	~&~'014C92B069D4A16EE043814FD881A16E'~&~	~&~'2'~&~	~&~'PARKING-CAR POOL PROGRAM'~&~	~&~'3771403079'~&~	~&~'4219606069'~&~	~&~'3771403079'~&~	~&~'PARK'~&~	~&~'RA'~&~	~&~'BL'~&~	~&~'AUXENT'~&~	~&~'Y'~&~	~&~'AUX'~&~	~&~'U'~&~	~&~NULL~&~	~&~'BLOOMINGTON'~&~	~&~'IN'~&~	~&~'FRANKLIN HALL 006'~&~	~&~'47405'~&~	~&~'BL'~&~	~&~NULL~&~	~&~'756104400000'~&~	~&~'753512400000'~&~	~&~'1086584400000'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'BA'~&~	~&~'6044909'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~'O'~&~	~&~'N'~&~	~&~'N'~&~	~&~'N'~&~	~&~'N'~&~	~&~'N'~&~	~&~'N'~&~	~&~NULL~&~	~&~'N'~&~	~&~'Y'~&~	~&~NULL~&~	~&~'--'~&~	~&~]RECORD
RECORD[~&~	~&~'BA'~&~	~&~'6044913'~&~	~&~'014C92B069D5A16EE043814FD881A16E'~&~	~&~'2'~&~	~&~'PARKING-4TH AND DUNN'~&~	~&~'3771403079'~&~	~&~'4219606069'~&~	~&~'3771403079'~&~	~&~'PARK'~&~	~&~'RA'~&~	~&~'BL'~&~	~&~'AUXENT'~&~	~&~'Y'~&~	~&~'AUX'~&~	~&~'U'~&~	~&~NULL~&~	~&~'BLOOMINGTON'~&~	~&~'IN'~&~	~&~'FRANKLIN HALL 006'~&~	~&~'47405'~&~	~&~'BL'~&~	~&~NULL~&~	~&~'680245200000'~&~	~&~'680245200000'~&~	~&~NULL~&~	~&~'BL'~&~	~&~'5431400'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'BA'~&~	~&~'6044913'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'N'~&~	~&~'O'~&~	~&~'N'~&~	~&~'N'~&~	~&~'N'~&~	~&~'N'~&~	~&~'N'~&~	~&~'N'~&~	~&~NULL~&~	~&~'N'~&~	~&~'N'~&~	~&~NULL~&~	~&~'--'~&~	~&~]RECORD
RECORD[~&~	~&~'BA'~&~	~&~'6628000'~&~	~&~'48A7ED7FE477FC83E0404F8189D860FE'~&~	~&~'2'~&~	~&~'MOTOR POOL'~&~	~&~'4318506633'~&~	~&~'6276904397'~&~	~&~'1781003865'~&~	~&~'MPAD'~&~	~&~'RA'~&~	~&~'BL'~&~	~&~'AUXSER'~&~	~&~'Y'~&~	~&~'IS'~&~	~&~'U'~&~	~&~NULL~&~	~&~'BLOOMINGTON'~&~	~&~'IN'~&~	~&~'801 N. RANGE RD.'~&~	~&~'47408'~&~	~&~'BL'~&~	~&~NULL~&~	~&~'205045200000'~&~	~&~'1005886800000'~&~	~&~NULL~&~	~&~'BL'~&~	~&~'5431400'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'BA'~&~	~&~'6628000'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'O'~&~	~&~'N'~&~	~&~'N'~&~	~&~'N'~&~	~&~'N'~&~	~&~'N'~&~	~&~'N'~&~	~&~NULL~&~	~&~'N'~&~	~&~'N'~&~	~&~NULL~&~	~&~'--'~&~	~&~]RECORD
RECORD[~&~	~&~'BA'~&~	~&~'6628030'~&~	~&~'48A7ED7FE47AFC83E0404F8189D860FE'~&~	~&~'2'~&~	~&~'MOTOR POOL DAILY RENTAL'~&~	~&~'1860703812'~&~	~&~NULL~&~	~&~'4146202628'~&~	~&~'MPDR'~&~	~&~'RA'~&~	~&~'BL'~&~	~&~'AUXSER'~&~	~&~'Y'~&~	~&~'IS'~&~	~&~'U'~&~	~&~NULL~&~	~&~'BLOOMINGTON'~&~	~&~'IN'~&~	~&~'801 N. RANGE ROAD'~&~	~&~'47405'~&~	~&~NULL~&~	~&~NULL~&~	~&~'1005860183000'~&~	~&~'1005800400000'~&~	~&~NULL~&~	~&~'BL'~&~	~&~'5431400'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'BA'~&~	~&~'6628030'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'O'~&~	~&~'N'~&~	~&~'N'~&~	~&~'N'~&~	~&~'N'~&~	~&~'N'~&~	~&~'N'~&~	~&~NULL~&~	~&~'N'~&~	~&~'N'~&~	~&~NULL~&~	~&~'--'~&~	~&~]RECORD
