HEADER[~&~	~&~POSITION_NBR::VARCHAR~&~	~&~EFFDT::TIMESTAMP~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~JOBCODE::VARCHAR~&~	~&~POS_EFF_STATUS::VARCHAR~&~	~&~DESCR::VARCHAR~&~	~&~DESCRSHORT::VARCHAR~&~	~&~BUSINESS_UNIT::VARCHAR~&~	~&~DEPTID::VARCHAR~&~	~&~POSN_STATUS::VARCHAR~&~	~&~STATUS_DT::TIMESTAMP~&~	~&~BUDGETED_POSN::VARCHAR~&~	~&~STD_HRS_DEFAULT::DECIMAL~&~	~&~STD_HRS_FREQUENCY::VARCHAR~&~	~&~POS_REG_TEMP::VARCHAR~&~	~&~POS_FTE::DECIMAL~&~	~&~POS_SAL_PLAN_DFLT::VARCHAR~&~	~&~POS_GRADE_DFLT::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'00000027'~&~	~&~'-2177431200000'~&~	~&~'37C1865A9037E080E043814FD881E080'~&~	~&~'1'~&~	~&~'000001'~&~	~&~'A'~&~	~&~'AC2 Adjunct Faculty'~&~	~&~'Adjunct Fa'~&~	~&~'IUBLA'~&~	~&~'BL-ARSD'~&~	~&~'A'~&~	~&~'-2177431200000'~&~	~&~'Y'~&~	~&~'23.20'~&~	~&~'W10'~&~	~&~'R'~&~	~&~'0.58'~&~	~&~'AC1'~&~	~&~'AAJ'~&~	~&~]RECORD
RECORD[~&~	~&~'00000027'~&~	~&~'1038718800000'~&~	~&~'37C1865A9059E080E043814FD881E080'~&~	~&~'1'~&~	~&~'000001'~&~	~&~'A'~&~	~&~'AC2 Adjunct Faculty'~&~	~&~'Adjunct Fa'~&~	~&~'IUBLA'~&~	~&~'BL-ARSD'~&~	~&~'A'~&~	~&~'-2177431200000'~&~	~&~'Y'~&~	~&~'40.00'~&~	~&~'W10'~&~	~&~'R'~&~	~&~'1.00'~&~	~&~'AC1'~&~	~&~'AAJ'~&~	~&~]RECORD
RECORD[~&~	~&~'00000027'~&~	~&~'1057035600000'~&~	~&~'37C1865A905DE080E043814FD881E080'~&~	~&~'1'~&~	~&~'000001'~&~	~&~'A'~&~	~&~'AC2 Visiting Fac Summer Only'~&~	~&~'VstFacSum'~&~	~&~'IUBLA'~&~	~&~'BL-ARSD'~&~	~&~'A'~&~	~&~'-2177431200000'~&~	~&~'Y'~&~	~&~'40.00'~&~	~&~'W'~&~	~&~'R'~&~	~&~'1.00'~&~	~&~'AC1'~&~	~&~'AAJ'~&~	~&~]RECORD
RECORD[~&~	~&~'00000144'~&~	~&~'-2177431200000'~&~	~&~'37C1865A8F61E080E043814FD881E080'~&~	~&~'1'~&~	~&~'000101'~&~	~&~'A'~&~	~&~'AC2 Visiting Faculty/Scholar'~&~	~&~'Visiting F'~&~	~&~'IUBLA'~&~	~&~'BL-PSY'~&~	~&~'A'~&~	~&~'-2177431200000'~&~	~&~'Y'~&~	~&~'40.00'~&~	~&~'W10'~&~	~&~'R'~&~	~&~'1.00'~&~	~&~'AC1'~&~	~&~'FTX'~&~	~&~]RECORD
RECORD[~&~	~&~'00000255'~&~	~&~'-2177431200000'~&~	~&~'37C1865A9038E080E043814FD881E080'~&~	~&~'1'~&~	~&~'000101'~&~	~&~'A'~&~	~&~'AC2 Visiting Faculty/Scholar'~&~	~&~'Visiting F'~&~	~&~'IUBLA'~&~	~&~'BL-PSY'~&~	~&~'A'~&~	~&~'-2177431200000'~&~	~&~'Y'~&~	~&~'40.00'~&~	~&~'W10'~&~	~&~'R'~&~	~&~'1.00'~&~	~&~'AC1'~&~	~&~'FTX'~&~	~&~]RECORD
RECORD[~&~	~&~'00000258'~&~	~&~'-2177431200000'~&~	~&~'37C1865A8F82E080E043814FD881E080'~&~	~&~'1'~&~	~&~'002199'~&~	~&~'A'~&~	~&~'Acad Historical'~&~	~&~'Acad Histo'~&~	~&~'IUBLA'~&~	~&~'BL-PSY'~&~	~&~'A'~&~	~&~'-2177431200000'~&~	~&~'Y'~&~	~&~'40.00'~&~	~&~'W'~&~	~&~'R'~&~	~&~'1.00'~&~	~&~'SS'~&~	~&~'0D'~&~	~&~]RECORD
RECORD[~&~	~&~'00000259'~&~	~&~'-2177431200000'~&~	~&~'37C1865A8F83E080E043814FD881E080'~&~	~&~'1'~&~	~&~'002199'~&~	~&~'A'~&~	~&~'Academic Advisor'~&~	~&~'PROF STF'~&~	~&~'IUBLA'~&~	~&~'BL-PSY'~&~	~&~'A'~&~	~&~'-2177431200000'~&~	~&~'Y'~&~	~&~'40.00'~&~	~&~'W'~&~	~&~'R'~&~	~&~'1.00'~&~	~&~'SS'~&~	~&~'0D'~&~	~&~]RECORD
RECORD[~&~	~&~'00000341'~&~	~&~'-2177431200000'~&~	~&~'37C1865A8FD9E080E043814FD881E080'~&~	~&~'1'~&~	~&~'000136'~&~	~&~'A'~&~	~&~'Academic Advisor'~&~	~&~'PROF STF'~&~	~&~'IUBLA'~&~	~&~'BL-KINS'~&~	~&~'A'~&~	~&~'-2177431200000'~&~	~&~'Y'~&~	~&~'40.00'~&~	~&~'W'~&~	~&~'R'~&~	~&~'1.00'~&~	~&~'AC1'~&~	~&~'RSX'~&~	~&~]RECORD
RECORD[~&~	~&~'00000341'~&~	~&~'1183262400000'~&~	~&~'37C1865A900FE080E043814FD881E080'~&~	~&~'1'~&~	~&~'000136'~&~	~&~'A'~&~	~&~'Academic Counselor'~&~	~&~'PROF STF'~&~	~&~'IUBLA'~&~	~&~'BL-KINS'~&~	~&~'A'~&~	~&~'-2177431200000'~&~	~&~'Y'~&~	~&~'40.00'~&~	~&~'W10'~&~	~&~'R'~&~	~&~'1.00'~&~	~&~'AC1'~&~	~&~'RSX'~&~	~&~]RECORD
RECORD[~&~	~&~'00000363'~&~	~&~'-2177431200000'~&~	~&~'37C1865A909DE080E043814FD881E080'~&~	~&~'1'~&~	~&~'000136'~&~	~&~'A'~&~	~&~'Academic Counselor'~&~	~&~'PROF STF'~&~	~&~'IUBLA'~&~	~&~'BL-PSY'~&~	~&~'A'~&~	~&~'-2177431200000'~&~	~&~'Y'~&~	~&~'40.00'~&~	~&~'W'~&~	~&~'R'~&~	~&~'1.00'~&~	~&~'AC1'~&~	~&~'RSX'~&~	~&~]RECORD
