HEADER[~&~	~&~UNIV_FISCAL_YR::DECIMAL~&~	~&~FIN_COA_CD::VARCHAR~&~	~&~ACCOUNT_NBR::VARCHAR~&~	~&~SUB_ACCT_NBR::VARCHAR~&~	~&~FIN_OBJECT_CD::VARCHAR~&~	~&~FIN_SUB_OBJ_CD::VARCHAR~&~	~&~POSITION_NBR::VARCHAR~&~	~&~EMPLID::VARCHAR~&~	~&~POS_CSF_CREATE_TM::TIMESTAMP~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~POS_CSF_DELETE_CD::VARCHAR~&~	~&~POS_CSF_AMT::DECIMAL~&~	~&~POS_CSF_FTE_QTY::DECIMAL~&~	~&~POS_CSF_TM_PCT::DECIMAL~&~	~&~POS_CSF_FNDSTAT_CD::VARCHAR~&~	~&~EMPL_RCD::DECIMAL~&~	~&~ERNCD::VARCHAR~&~	~&~ADDL_SEQ::DECIMAL~&~	~&~EFFDT::TIMESTAMP~&~	~&~EFFSEQ::DECIMAL~&~	~&~]HEADER
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'-----'~&~	~&~'2400'~&~	~&~'---'~&~	~&~'00009529'~&~	~&~'0000000082'~&~	~&~'200607020000000000'~&~	~&~'3089F9B6BD99008CE043814FD881008C'~&~	~&~'1'~&~	~&~'-'~&~	~&~'41922.00'~&~	~&~'1.000000'~&~	~&~'100.000000'~&~	~&~'-'~&~	~&~'1'~&~	~&~'REG'~&~	~&~'0'~&~	~&~'200607010000000000'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'-----'~&~	~&~'2400'~&~	~&~'---'~&~	~&~'00014789'~&~	~&~'0000000331'~&~	~&~'200702090000000000'~&~	~&~'3089F9B6BF5F008CE043814FD881008C'~&~	~&~'1'~&~	~&~'-'~&~	~&~'39951.19'~&~	~&~'0.490000'~&~	~&~'49.000000'~&~	~&~'V'~&~	~&~'0'~&~	~&~'REG'~&~	~&~'0'~&~	~&~'200607010000000000'~&~	~&~'1'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'-----'~&~	~&~'2400'~&~	~&~'---'~&~	~&~'00015213'~&~	~&~'0000000338'~&~	~&~'200607020000000000'~&~	~&~'3089F9B6BEA6008CE043814FD881008C'~&~	~&~'1'~&~	~&~'-'~&~	~&~'32602.69'~&~	~&~'0.505100'~&~	~&~'50.510000'~&~	~&~'-'~&~	~&~'0'~&~	~&~'REG'~&~	~&~'0'~&~	~&~'200607010000000000'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'-----'~&~	~&~'2400'~&~	~&~'---'~&~	~&~'00017659'~&~	~&~'0000000583'~&~	~&~'200607020000000000'~&~	~&~'3089F9B6BEAF008CE043814FD881008C'~&~	~&~'1'~&~	~&~'-'~&~	~&~'19440.95'~&~	~&~'0.246300'~&~	~&~'24.630000'~&~	~&~'-'~&~	~&~'0'~&~	~&~'REG'~&~	~&~'0'~&~	~&~'200607010000000000'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'-----'~&~	~&~'2400'~&~	~&~'---'~&~	~&~'00019196'~&~	~&~'0000000331'~&~	~&~'200702090000000000'~&~	~&~'3089F9B6BF61008CE043814FD881008C'~&~	~&~'1'~&~	~&~'-'~&~	~&~'42401.21'~&~	~&~'0.490000'~&~	~&~'49.000000'~&~	~&~'-'~&~	~&~'0'~&~	~&~'REG'~&~	~&~'0'~&~	~&~'200701010000000000'~&~	~&~'1'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'-----'~&~	~&~'2400'~&~	~&~'---'~&~	~&~'00019196'~&~	~&~'0000000688'~&~	~&~'200701290000000000'~&~	~&~'3089F9B6BEDD008CE043814FD881008C'~&~	~&~'1'~&~	~&~'C'~&~	~&~'61273.88'~&~	~&~'0.624600'~&~	~&~'62.460000'~&~	~&~'V'~&~	~&~'0'~&~	~&~'REG'~&~	~&~'0'~&~	~&~'200607010000000000'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'-----'~&~	~&~'2400'~&~	~&~'---'~&~	~&~'00022120'~&~	~&~'0000001319'~&~	~&~'200607050000000000'~&~	~&~'3089F9B6BEE2008CE043814FD881008C'~&~	~&~'1'~&~	~&~'-'~&~	~&~'36853.25'~&~	~&~'0.635400'~&~	~&~'63.540000'~&~	~&~'-'~&~	~&~'0'~&~	~&~'REG'~&~	~&~'0'~&~	~&~'200607010000000000'~&~	~&~'1'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'-----'~&~	~&~'2400'~&~	~&~'---'~&~	~&~'00022120'~&~	~&~'VACANT'~&~	~&~'200704040000000000'~&~	~&~'3089F9B6BEDE008CE043814FD881008C'~&~	~&~'1'~&~	~&~'C'~&~	~&~'36853.00'~&~	~&~'0.680000'~&~	~&~'68.000000'~&~	~&~'V'~&~	~&~'0'~&~	~&~'BDG'~&~	~&~'0'~&~	~&~'200607010000000000'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'-----'~&~	~&~'2400'~&~	~&~'---'~&~	~&~'00030851'~&~	~&~'0000000688'~&~	~&~'200701260000000000'~&~	~&~'3089F9B6BF4D008CE043814FD881008C'~&~	~&~'1'~&~	~&~'-'~&~	~&~'61273.86'~&~	~&~'0.624600'~&~	~&~'62.460000'~&~	~&~'-'~&~	~&~'0'~&~	~&~'REG'~&~	~&~'0'~&~	~&~'200701010000000000'~&~	~&~'0'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'6044900'~&~	~&~'-----'~&~	~&~'2500'~&~	~&~'---'~&~	~&~'00008115'~&~	~&~'0000000513'~&~	~&~'200607020000000000'~&~	~&~'3089F9B6BDA3008CE043814FD881008C'~&~	~&~'1'~&~	~&~'-'~&~	~&~'19906.00'~&~	~&~'1.000000'~&~	~&~'100.000000'~&~	~&~'-'~&~	~&~'0'~&~	~&~'RGN'~&~	~&~'0'~&~	~&~'200607010000000000'~&~	~&~'0'~&~	~&~]RECORD
