HEADER[~&~	~&~A21_LBR_RPT_NBR::VARCHAR~&~	~&~UNIV_FISCAL_YR::DECIMAL~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~A21LBR_RPT_PRD_TTL::VARCHAR~&~	~&~LBR_RPT_PRDSTAT_CD::VARCHAR~&~	~&~LBR_ET_FSCL_YR::DECIMAL~&~	~&~LBR_ET_FSCL_PRD_CD::VARCHAR~&~	~&~A21_LBR_RPT_TYP_CD::VARCHAR~&~	~&~A21LBR_RPT_RTRN_DT::TIMESTAMP~&~	~&~LBR_RPT_BEG_FSCL_YR::DECIMAL~&~	~&~LBR_RPT_BEG_FSCL_PRD_CD::VARCHAR~&~	~&~LBR_RPT_END_FSCL_YR::DECIMAL~&~	~&~LBR_RPT_END_FSCL_PRD_CD::VARCHAR~&~	~&~ROW_ACTV_IND::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'A01'~&~	~&~'2009'~&~	~&~'742D9B34-96CB-709E-6F7B-B6C878DC595B'~&~	~&~'2'~&~	~&~'Academic Fall'~&~	~&~'N'~&~	~&~'2009'~&~	~&~'06'~&~	~&~'10'~&~	~&~NULL~&~	~&~'2009'~&~	~&~'02'~&~	~&~'2009'~&~	~&~'06'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'A01'~&~	~&~'2010'~&~	~&~'194E3567-D92B-55C8-3F1A-36F25397A066'~&~	~&~'2'~&~	~&~'Academic Fall'~&~	~&~'N'~&~	~&~'2010'~&~	~&~'06'~&~	~&~'10'~&~	~&~NULL~&~	~&~'2010'~&~	~&~'02'~&~	~&~'2010'~&~	~&~'06'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'A01'~&~	~&~'2011'~&~	~&~'84687050-B8F1-72B8-C79D-C9AC524F97A4'~&~	~&~'2'~&~	~&~'Academic Fall'~&~	~&~'N'~&~	~&~'2011'~&~	~&~'06'~&~	~&~'10'~&~	~&~NULL~&~	~&~'2011'~&~	~&~'02'~&~	~&~'2011'~&~	~&~'06'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'A01'~&~	~&~'2012'~&~	~&~'2AA56841-B38B-199B-0444-FF1AA56FBB5C'~&~	~&~'2'~&~	~&~'Academic Fall'~&~	~&~'N'~&~	~&~'2012'~&~	~&~'06'~&~	~&~'10'~&~	~&~NULL~&~	~&~'2012'~&~	~&~'02'~&~	~&~'2012'~&~	~&~'06'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'A01'~&~	~&~'2013'~&~	~&~'96706973-391b-4b2e-89a9-31831d2e09c2'~&~	~&~'2'~&~	~&~'Academic Fall'~&~	~&~'N'~&~	~&~'2013'~&~	~&~'06'~&~	~&~'10'~&~	~&~NULL~&~	~&~'2013'~&~	~&~'02'~&~	~&~'2013'~&~	~&~'06'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'A01'~&~	~&~'2014'~&~	~&~'d07cfdd0-b77a-4614-bc25-f0685fc3b7f5'~&~	~&~'2'~&~	~&~'Academic Fall'~&~	~&~'N'~&~	~&~'2014'~&~	~&~'06'~&~	~&~'10'~&~	~&~NULL~&~	~&~'2014'~&~	~&~'02'~&~	~&~'2014'~&~	~&~'06'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'A01'~&~	~&~'2015'~&~	~&~'f4e314df-7599-41f8-8e7b-4719bea100a8'~&~	~&~'2'~&~	~&~'Academic Fall'~&~	~&~'N'~&~	~&~'2015'~&~	~&~'06'~&~	~&~'10'~&~	~&~NULL~&~	~&~'2015'~&~	~&~'02'~&~	~&~'2015'~&~	~&~'06'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'A01'~&~	~&~'2016'~&~	~&~'e41cbb25-893e-4ce2-96f7-699d9883ca72'~&~	~&~'2'~&~	~&~'Academic Fall'~&~	~&~'N'~&~	~&~'2016'~&~	~&~'06'~&~	~&~'10'~&~	~&~NULL~&~	~&~'2016'~&~	~&~'02'~&~	~&~'2016'~&~	~&~'06'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'A02'~&~	~&~'2009'~&~	~&~'24441F48-DB7D-DF1F-C942-6C725BDEDCA1'~&~	~&~'2'~&~	~&~'Academic Spring'~&~	~&~'N'~&~	~&~'2009'~&~	~&~'11'~&~	~&~'10'~&~	~&~NULL~&~	~&~'2009'~&~	~&~'07'~&~	~&~'2009'~&~	~&~'11'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'A02'~&~	~&~'2010'~&~	~&~'1A09DB76-46FC-7A7C-9B31-E8FA00D9C3DA'~&~	~&~'2'~&~	~&~'Academic Spring'~&~	~&~'N'~&~	~&~'2010'~&~	~&~'11'~&~	~&~'10'~&~	~&~NULL~&~	~&~'2010'~&~	~&~'07'~&~	~&~'2010'~&~	~&~'11'~&~	~&~'Y'~&~	~&~]RECORD
