HEADER[~&~	~&~ROLE_PERM_ID::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~ROLE_ID::VARCHAR~&~	~&~PERM_ID::VARCHAR~&~	~&~ACTV_IND::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'183'~&~	~&~'5C27A267EF5C7417E0404F8189D830A9'~&~	~&~'1'~&~	~&~'63'~&~	~&~'140'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'184'~&~	~&~'5C27A267EF5D7417E0404F8189D830A9'~&~	~&~'1'~&~	~&~'63'~&~	~&~'141'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'185'~&~	~&~'5C27A267EF5E7417E0404F8189D830A9'~&~	~&~'1'~&~	~&~'63'~&~	~&~'142'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'186'~&~	~&~'5C27A267EF5F7417E0404F8189D830A9'~&~	~&~'1'~&~	~&~'63'~&~	~&~'143'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'187'~&~	~&~'5C27A267EF607417E0404F8189D830A9'~&~	~&~'1'~&~	~&~'63'~&~	~&~'144'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'188'~&~	~&~'5C27A267EF617417E0404F8189D830A9'~&~	~&~'1'~&~	~&~'63'~&~	~&~'145'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'189'~&~	~&~'5C27A267EF627417E0404F8189D830A9'~&~	~&~'1'~&~	~&~'1'~&~	~&~'146'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'190'~&~	~&~'5C27A267EF637417E0404F8189D830A9'~&~	~&~'1'~&~	~&~'63'~&~	~&~'147'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'191'~&~	~&~'5C27A267EF647417E0404F8189D830A9'~&~	~&~'1'~&~	~&~'63'~&~	~&~'148'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'193'~&~	~&~'5C27A267EF667417E0404F8189D830A9'~&~	~&~'1'~&~	~&~'1'~&~	~&~'149'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'194'~&~	~&~'5C27A267EF677417E0404F8189D830A9'~&~	~&~'1'~&~	~&~'63'~&~	~&~'150'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'195'~&~	~&~'5C27A267EF687417E0404F8189D830A9'~&~	~&~'1'~&~	~&~'63'~&~	~&~'151'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'196'~&~	~&~'5C27A267EF697417E0404F8189D830A9'~&~	~&~'1'~&~	~&~'63'~&~	~&~'152'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'200'~&~	~&~'5C27A267EF6D7417E0404F8189D830A9'~&~	~&~'1'~&~	~&~'63'~&~	~&~'155'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'201'~&~	~&~'5C27A267EF6E7417E0404F8189D830A9'~&~	~&~'1'~&~	~&~'1'~&~	~&~'156'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'206'~&~	~&~'5C27A267EF737417E0404F8189D830A9'~&~	~&~'1'~&~	~&~'1'~&~	~&~'161'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'207'~&~	~&~'5C27A267EF747417E0404F8189D830A9'~&~	~&~'1'~&~	~&~'1'~&~	~&~'162'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'208'~&~	~&~'5C27A267EF757417E0404F8189D830A9'~&~	~&~'1'~&~	~&~'63'~&~	~&~'163'~&~	~&~'Y'~&~	~&~]RECORD
