HEADER[~&~	~&~UNIV_FISCAL_YR::DECIMAL~&~	~&~FIN_COA_CD::VARCHAR~&~	~&~ORG_CD::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~ORG_LT_CHRG_OBJ_CD::VARCHAR~&~	~&~INV_FIN_COA_CD::VARCHAR~&~	~&~INV_ACCT_NBR::VARCHAR~&~	~&~INV_SUB_ACCT_NBR::VARCHAR~&~	~&~INV_FIN_OBJ_CD::VARCHAR~&~	~&~INV_FIN_SUB_OBJ_CD::VARCHAR~&~	~&~INV_PROJECT_CD::VARCHAR~&~	~&~INV_ORG_REF_ID::VARCHAR~&~	~&~PMT_FIN_COA_CD::VARCHAR~&~	~&~PMT_ACCT_NBR::VARCHAR~&~	~&~PMT_SUB_ACCT_NBR::VARCHAR~&~	~&~PMT_FIN_OBJ_CD::VARCHAR~&~	~&~PMT_FIN_SUB_OBJ_CD::VARCHAR~&~	~&~PMT_PROJECT_CD::VARCHAR~&~	~&~PMT_ORG_REF_ID::VARCHAR~&~	~&~WRITEOFF_FIN_COA_CD::VARCHAR~&~	~&~WRITEOFF_ACCT_NBR::VARCHAR~&~	~&~WRITEOFF_SUB_ACCT_NBR::VARCHAR~&~	~&~WRITEOFF_FIN_OBJ_CD::VARCHAR~&~	~&~WRITEOFF_FIN_SUB_OBJ_CD::VARCHAR~&~	~&~WRITEOFF_PROJECT_CD::VARCHAR~&~	~&~WRITEOFF_ORG_REF_ID::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'2009'~&~	~&~'BA'~&~	~&~'MOTR'~&~	~&~'09AEC7FF-C624-71C0-52F9-4ED1B3BD0A07'~&~	~&~'2'~&~	~&~'1800'~&~	~&~'BA'~&~	~&~'6628030'~&~	~&~NULL~&~	~&~'1687'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'5105'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BL'~&~	~&~'UGCS'~&~	~&~'2A3B0E3F-C78A-4F0A-6DDD-C6F621ADB49D'~&~	~&~'2'~&~	~&~'1800'~&~	~&~'BL'~&~	~&~'2336320'~&~	~&~NULL~&~	~&~'1800'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'5105'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'EA'~&~	~&~'BOOK'~&~	~&~'5A691AF93B50424DE0404F8189D80D73'~&~	~&~'1'~&~	~&~NULL~&~	~&~'EA'~&~	~&~'2969337'~&~	~&~NULL~&~	~&~'1800'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'EA'~&~	~&~'0309465'~&~	~&~NULL~&~	~&~'8118'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'EA'~&~	~&~'2969337'~&~	~&~NULL~&~	~&~'5105'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'IN'~&~	~&~'LART'~&~	~&~'5A691AF93B51424DE0404F8189D80D73'~&~	~&~'1'~&~	~&~NULL~&~	~&~'IN'~&~	~&~'1292016'~&~	~&~NULL~&~	~&~'1800'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'IN'~&~	~&~'1292087'~&~	~&~NULL~&~	~&~'8118'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'IN'~&~	~&~'4894706'~&~	~&~NULL~&~	~&~'5105'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2010'~&~	~&~'BA'~&~	~&~'MOTR'~&~	~&~'3170068A-9F7D-A6A2-F4A1-5220987F8B71'~&~	~&~'2'~&~	~&~'1800'~&~	~&~'BA'~&~	~&~'6628030'~&~	~&~NULL~&~	~&~'1687'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'5105'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2010'~&~	~&~'BL'~&~	~&~'UGCS'~&~	~&~'A5FF5F7D-F7A6-8259-15B3-957D4C0A7E52'~&~	~&~'2'~&~	~&~'1800'~&~	~&~'BL'~&~	~&~'2336320'~&~	~&~NULL~&~	~&~'1800'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'5105'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2010'~&~	~&~'EA'~&~	~&~'BOOK'~&~	~&~'4C863E54-22E3-6838-9643-BC6E800765DB'~&~	~&~'2'~&~	~&~NULL~&~	~&~'EA'~&~	~&~'2969337'~&~	~&~NULL~&~	~&~'1800'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'EA'~&~	~&~'0309465'~&~	~&~NULL~&~	~&~'8118'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'EA'~&~	~&~'2969337'~&~	~&~NULL~&~	~&~'5105'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2010'~&~	~&~'IN'~&~	~&~'LART'~&~	~&~'134DD2FD-2832-5DA2-335D-823AE3A963EF'~&~	~&~'2'~&~	~&~NULL~&~	~&~'IN'~&~	~&~'1292016'~&~	~&~NULL~&~	~&~'1800'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'IN'~&~	~&~'1292087'~&~	~&~NULL~&~	~&~'8118'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'IN'~&~	~&~'4894706'~&~	~&~NULL~&~	~&~'5105'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'BA'~&~	~&~'MOTR'~&~	~&~'98374FF7-A003-F9F7-9DE3-82735E71A2DE'~&~	~&~'2'~&~	~&~'1800'~&~	~&~'BA'~&~	~&~'6628030'~&~	~&~NULL~&~	~&~'1687'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'5105'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'BL'~&~	~&~'UGCS'~&~	~&~'55AFA1A5-DFB5-2A5F-4D2A-883B0996D2FE'~&~	~&~'2'~&~	~&~'1800'~&~	~&~'BL'~&~	~&~'2336320'~&~	~&~NULL~&~	~&~'1800'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~'5105'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
