HEADER[~&~	~&~UNIV_FISCAL_YR::DECIMAL~&~	~&~PRCS_FIN_COA_CD::VARCHAR~&~	~&~PRCS_ORG_CD::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~UNIV_FEIN_NBR::VARCHAR~&~	~&~REFUND_FIN_OBJ_CD::VARCHAR~&~	~&~UNIV_CLR_COA_CD::VARCHAR~&~	~&~UNIV_CLR_ACCT_NBR::VARCHAR~&~	~&~UNIV_CLR_SUBAC_NBR::VARCHAR~&~	~&~UNIV_CLR_OBJECT_CD::VARCHAR~&~	~&~UNIV_CLR_SUBOBJ_CD::VARCHAR~&~	~&~PMT_CLR_FIN_OBJ_CD::VARCHAR~&~	~&~AR_LOCKBOX_NBR::VARCHAR~&~	~&~ROW_ACTV_IND::VARCHAR~&~	~&~ORG_REMIT_ADDR_NM::VARCHAR~&~	~&~ORG_REMIT_LN1_ADDR::VARCHAR~&~	~&~ORG_REMIT_LN2_ADDR::VARCHAR~&~	~&~ORG_REMIT_CITY_NM::VARCHAR~&~	~&~ORG_REMIT_ST_CD::VARCHAR~&~	~&~ORG_REMIT_ZIP_CD::VARCHAR~&~	~&~ORG_CHCK_PAY_TO_NM::VARCHAR~&~	~&~FDOC_INITIATOR_ID::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'2009'~&~	~&~'EA'~&~	~&~'BURS'~&~	~&~'5A691AF93B5A424DE0404F8189D80D73'~&~	~&~'1'~&~	~&~'944567890'~&~	~&~'1999'~&~	~&~'EA'~&~	~&~'0309060'~&~	~&~NULL~&~	~&~'9080'~&~	~&~NULL~&~	~&~'9460'~&~	~&~'66255'~&~	~&~'Y'~&~	~&~'Cashiers Office'~&~	~&~'2325 Chester Blvd.'~&~	~&~NULL~&~	~&~'Richmond'~&~	~&~'IN'~&~	~&~'47374'~&~	~&~'Regents of Indiana Univ'~&~	~&~'2'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'IN'~&~	~&~'ACCT'~&~	~&~'5A691AF93B5B424DE0404F8189D80D73'~&~	~&~'1'~&~	~&~'947772288'~&~	~&~'1999'~&~	~&~'IN'~&~	~&~'9732110'~&~	~&~NULL~&~	~&~'9080'~&~	~&~NULL~&~	~&~'9460'~&~	~&~'66278'~&~	~&~'Y'~&~	~&~'Cashiers Office'~&~	~&~'420 University Blvd'~&~	~&~NULL~&~	~&~'Indianapolis'~&~	~&~'IN'~&~	~&~'46202'~&~	~&~'Regents of Indiana Univ'~&~	~&~'2'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'UA'~&~	~&~'AR'~&~	~&~'9EB20EED-1BEA-E83D-7C78-ED07F5DE6B3B'~&~	~&~'2'~&~	~&~'1111111'~&~	~&~'1999'~&~	~&~'UA'~&~	~&~'6812950'~&~	~&~NULL~&~	~&~'8015'~&~	~&~NULL~&~	~&~'1599'~&~	~&~'66248'~&~	~&~'Y'~&~	~&~'BLOOMINGTON BURSAR'~&~	~&~'1441 LEFT HOUSE STREET'~&~	~&~NULL~&~	~&~'BLOOMINGTON'~&~	~&~'IN'~&~	~&~'46266'~&~	~&~'INDIANA UNIVERSITY'~&~	~&~'2'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'UA'~&~	~&~'VPIT'~&~	~&~'F04E6171-0153-CF44-F733-68D9A28374F1'~&~	~&~'3'~&~	~&~'1111111'~&~	~&~'1999'~&~	~&~'UA'~&~	~&~'6812950'~&~	~&~NULL~&~	~&~'8015'~&~	~&~NULL~&~	~&~'1599'~&~	~&~'66249'~&~	~&~'Y'~&~	~&~'BLOOMINGTON BURSAR'~&~	~&~'1441 LEFT HOUSE STREET'~&~	~&~NULL~&~	~&~'BLOOMINGTON'~&~	~&~'IN'~&~	~&~'46266'~&~	~&~'INDIANA UNIVERSITY'~&~	~&~'2'~&~	~&~]RECORD
RECORD[~&~	~&~'2010'~&~	~&~'EA'~&~	~&~'BURS'~&~	~&~'49C815D9-591E-FF8E-DF59-CF2BDAEF806C'~&~	~&~'2'~&~	~&~'944567890'~&~	~&~'1999'~&~	~&~'EA'~&~	~&~'0309060'~&~	~&~NULL~&~	~&~'9080'~&~	~&~NULL~&~	~&~'9460'~&~	~&~'66255'~&~	~&~'Y'~&~	~&~'Cashiers Office'~&~	~&~'2325 Chester Blvd.'~&~	~&~NULL~&~	~&~'Richmond'~&~	~&~'IN'~&~	~&~'47374'~&~	~&~'Regents of Indiana Univ'~&~	~&~'2'~&~	~&~]RECORD
RECORD[~&~	~&~'2010'~&~	~&~'IN'~&~	~&~'ACCT'~&~	~&~'AD12BE32-EC9E-FC5F-B690-7C62767D84A6'~&~	~&~'2'~&~	~&~'947772288'~&~	~&~'1999'~&~	~&~'IN'~&~	~&~'9732110'~&~	~&~NULL~&~	~&~'9080'~&~	~&~NULL~&~	~&~'9460'~&~	~&~'66278'~&~	~&~'Y'~&~	~&~'Cashiers Office'~&~	~&~'420 University Blvd'~&~	~&~NULL~&~	~&~'Indianapolis'~&~	~&~'IN'~&~	~&~'46202'~&~	~&~'Regents of Indiana Univ'~&~	~&~'2'~&~	~&~]RECORD
RECORD[~&~	~&~'2010'~&~	~&~'UA'~&~	~&~'AR'~&~	~&~'D91F2F4A-2F75-3A9B-36CF-2DB5D033989A'~&~	~&~'2'~&~	~&~'1111111'~&~	~&~'1999'~&~	~&~'UA'~&~	~&~'6812950'~&~	~&~NULL~&~	~&~'8015'~&~	~&~NULL~&~	~&~'1599'~&~	~&~'66248'~&~	~&~'Y'~&~	~&~'BLOOMINGTON BURSAR'~&~	~&~'1441 LEFT HOUSE STREET'~&~	~&~NULL~&~	~&~'BLOOMINGTON'~&~	~&~'IN'~&~	~&~'46266'~&~	~&~'INDIANA UNIVERSITY'~&~	~&~'2'~&~	~&~]RECORD
RECORD[~&~	~&~'2010'~&~	~&~'UA'~&~	~&~'VPIT'~&~	~&~'C94BA0EE-1541-F491-BE22-9BC3735255B5'~&~	~&~'2'~&~	~&~'1111111'~&~	~&~'1999'~&~	~&~'UA'~&~	~&~'6812950'~&~	~&~NULL~&~	~&~'8015'~&~	~&~NULL~&~	~&~'1599'~&~	~&~'66249'~&~	~&~'Y'~&~	~&~'BLOOMINGTON BURSAR'~&~	~&~'1441 LEFT HOUSE STREET'~&~	~&~NULL~&~	~&~'BLOOMINGTON'~&~	~&~'IN'~&~	~&~'46266'~&~	~&~'INDIANA UNIVERSITY'~&~	~&~'2'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'EA'~&~	~&~'BURS'~&~	~&~'7E3F1D38-4184-43B7-1187-B19B819D21F0'~&~	~&~'2'~&~	~&~'944567890'~&~	~&~'1999'~&~	~&~'EA'~&~	~&~'0309060'~&~	~&~NULL~&~	~&~'9080'~&~	~&~NULL~&~	~&~'9460'~&~	~&~'66255'~&~	~&~'Y'~&~	~&~'Cashiers Office'~&~	~&~'2325 Chester Blvd.'~&~	~&~NULL~&~	~&~'Richmond'~&~	~&~'IN'~&~	~&~'47374'~&~	~&~'Regents of Indiana Univ'~&~	~&~'2'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'IN'~&~	~&~'ACCT'~&~	~&~'64C1093C-ECD3-D795-10B9-88FEFA2A187A'~&~	~&~'2'~&~	~&~'947772288'~&~	~&~'1999'~&~	~&~'IN'~&~	~&~'9732110'~&~	~&~NULL~&~	~&~'9080'~&~	~&~NULL~&~	~&~'9460'~&~	~&~'66278'~&~	~&~'Y'~&~	~&~'Cashiers Office'~&~	~&~'420 University Blvd'~&~	~&~NULL~&~	~&~'Indianapolis'~&~	~&~'IN'~&~	~&~'46202'~&~	~&~'Regents of Indiana Univ'~&~	~&~'2'~&~	~&~]RECORD
